snid,label_name,label_id,sim_z,z_peak_flux,r_mean_flux,peak_color_g_minus_r,i_peak_flux,peak_color_r_minus_i,peak_color_i_minus_z,g_mean_flux,r_peak_flux,z_std_flux,i_amplitude,i_std_flux,time_span,z_time_of_peak,i_time_of_peak,r_time_of_peak,r_std_flux
17,II,0,0.3972,1.6469837668254457,1.4082864330146745,-0.10846444860162202,1.614294572273929,-0.059535423309654154,0.12391143078111387,1.502161859007053,1.6246981431262182,0.7961960619062486,1.375297738217339,0.8655783508927314,84.0659999999989,24.023000000001048,8.019000000000233,15.031000000002678,1.0145681530634916
19,II,0,0.9674,1.072864573493433,1.104601176058934,1.2950442883096203,1.051968059499665,-0.36766250898691655,-0.11635589197865459,0.7539440174264008,1.1603042753654274,0.7371676730455726,0.7715874808812554,0.5384480517102173,28.898000000001048,28.898000000001048,19.86699999999837,15.953000000001339,0.6821358190647083
126,II,0,0.5621,1.376845649815964,1.0805641644037727,0.5049099128575458,1.004120606507628,-0.6930194090243389,0.9138866386768342,1.0409642003777866,1.28907838270491,0.5885430305432134,0.4189638307036226,0.24027522922012276,95.02799999999843,43.07100000000355,1.0820000000021537,16.031999999999243,0.6663456901691781
172,II,0,0.4458,1.4842415040114363,1.0924705766118497,0.1808997237119948,1.4328034608073006,0.16928608408526014,0.1984855997814069,1.225896083717991,1.3875746900998251,0.7272604788529201,1.3392924027687654,0.7784200436846511,125.9409999999989,43.03900000000431,52.0,14.957000000002154,0.7497431472992164
303,Ib,0,0.9024,1.4108446464904012,1.242603511305192,3.539572752303503,1.540608082630509,0.54005690165518,-0.2825015139654479,-0.6001117269445925,1.3183817950886016,0.7817881989880442,1.1338581252033346,0.7902685987684971,37.15699999999924,8.144999999996799,15.00800000000163,12.114000000001397,0.6374897295125108
488,II,0,0.7708,1.2793299667966258,1.065871343584627,1.0145969446978687,1.1225703456600804,-0.38868964984848037,0.5103636691910886,0.20282452874942453,1.3789979440960858,0.5221746474953455,0.6144753660903953,0.35162989858401533,102.80099999999948,102.80099999999948,44.875,13.805000000000291,0.7450007850507047
556,IIn,0,0.4532,2.0146639987643833,1.6426257090030296,-0.1268120009211518,2.072074107479164,-0.07120850727727526,-0.07378218025379035,1.9781612620588656,2.1364556691341976,1.0684085670202281,1.6310376965367404,1.2031505262489728,71.07800000000134,2.186999999998079,2.1560000000026776,0.01600000000325963,1.2512813747393623
565,II,0,0.7699,1.4188742298546733,1.2337617672341397,0.8050931471428222,1.3038897397769122,-0.2709804590706562,0.0944714022234995,1.0624766741958944,1.4209994590914068,0.5384996784663549,0.8385972528166564,0.5003991583219083,108.83599999999569,50.879000000000815,42.83599999999569,51.86699999999837,0.6366689336288245
642,Ia,1,0.8128,1.121757516601151,0.8655899905950296,0.48447182975822123,1.2849226760148116,1.2709641133058227,-0.5280289993649444,0.06711426524680755,0.9162368134269154,0.7230814155997806,1.347720217034038,1.006208380788876,44.81300000000192,7.957000000002154,29.114000000001397,7.942000000002736,0.5237464668115644
696,IIL,0,0.3548,1.184382784996053,0.8079420799129784,-0.32278454178315785,1.0801498807495795,0.5826570805695198,0.14653783646476887,0.4366839071643735,0.9855696865432995,0.8704654292568387,1.0466902213700569,0.7111939994554518,45.082000000002154,8.019000000000233,7.988000000004831,7.973000000005413,0.7571103565114757
742,II,0,0.4541,1.8280063431452465,1.4075356291761953,-0.5602846555942459,1.4557042817421486,-0.3092193548104831,0.7670956897911145,1.7863561746541574,1.5553978230864625,0.8643892322881235,0.7218106152125467,0.44156444193589195,84.92199999999866,3.9179999999978463,54.86699999999837,3.8869999999951688,0.7507869966105403
760,Ib,0,0.8864,1.7079365963287378,1.1646952228846905,1.6898747478495264,1.6674272373327397,0.9787520670822064,0.09432084599989851,0.4822070280021551,1.2452889340548323,0.7126834458573944,1.0417873189717517,0.6588163601710241,19.04699999999866,19.04699999999866,8.023000000001048,0.0,0.43563099325333193
762,II,0,0.6733,1.0573741918847526,0.9341223831414077,1.033121776444234,1.0594469394259436,-0.18635088001501263,0.000932162499636035,0.498920389867774,1.0817981761914004,0.6797509194430712,1.0352696000994361,0.6315775187964179,33.91399999999703,32.95699999999488,3.9679999999934807,14.909999999996217,0.7769737892524285
834,Ib,0,0.3235,1.379884525918868,1.0918827235633801,-0.4058111799776257,1.3669545811025179,0.5596639588153246,0.12605556262435946,1.2327615740702516,1.1387158024382984,0.6860569119190527,0.8756399370041685,0.4984240205630548,19.059000000001106,8.059000000001106,16.965000000003783,19.01600000000326,0.3397998412039484
858,II,0,0.8275,1.2001472520264564,1.0113728607696284,-0.11214927700140645,1.2163431866298045,0.09474439736429612,0.05229603730070248,-0.2571566678497426,1.150524754588156,0.294412316994425,0.8244512700366128,0.48727439624867047,120.96100000000297,120.96100000000297,60.042999999997846,64.09000000000378,0.5111783365946845
865,II,0,0.5633,1.122793448732518,1.0180782063091955,1.2688841351218183,1.1827597393903315,0.24440513675961964,-0.19692319597271235,0.6595825230250022,1.100030075888548,0.453407493431168,1.0342673970380256,0.6439273748754347,71.11699999999837,12.038999999997031,4.097999999998137,13.070999999996275,0.6037016061986883
873,II,0,0.7469,1.4526239940885644,1.285648637433286,1.2179240388518195,1.3755803434961067,-0.44811219857398366,0.3164299666771669,1.0053987065201475,1.522184395294392,0.661499981533064,1.026410680578774,0.5978583138423441,76.92199999999866,47.96500000000378,16.082000000002154,14.917999999997846,0.9076090477010491
876,Ib,0,0.2356,1.4812684729877976,1.2870750690535062,0.5580459302767931,1.4171200504937065,0.2343834982939232,0.2765766810507924,1.1485169180474661,1.3462628538126933,1.413785579443093,1.4350476413399644,1.0028321875220803,29.956999999994878,29.956999999994878,18.932999999997264,18.91399999999703,0.9246491618588688
903,II,0,0.6655,1.0649001940114624,0.9842375771806251,0.21468322835593323,1.0542993642620837,-0.41336202215061735,0.12640156976269096,1.0736652967783828,1.154011658764659,0.5428793459047043,1.058084224750925,0.5925638966953284,78.96099999999569,27.875,0.027000000001862645,7.917999999997846,0.8318113312479132
938,Ia,1,0.7331,1.2513997778767603,0.9876936278643348,-0.2188677303095793,1.2224554562834105,0.44411058078506493,0.12090290230124574,0.6979272570084992,1.0771214139319683,0.9958622483095957,1.4861469968065726,1.018025720762476,38.96899999999732,14.093999999997322,16.06999999999971,15.074000000000524,0.7813862364246741
967,II,0,0.8998,0.8411590004968912,0.8359255805406791,-0.09893089050407003,0.7190220876733316,-0.8931669466738088,0.4232262527276242,1.0121456880791893,1.0146159745437597,0.0,0.0,0.0,30.167999999997846,19.957000000002154,29.144000000000233,3.1090000000040163,0.6613192381912888
1024,II,0,0.4091,1.8476461589057642,1.3707939979349368,-0.9629299036824162,1.237799255390313,-0.42806125438227405,1.058692994356716,1.8586628975804513,1.4338511730895633,0.9266757659122977,0.0,0.0,67.03500000000349,20.898000000001048,3.0350000000034925,27.160000000003492,0.42357497361847385
1049,Ib,0,0.4459,1.7316645583665085,1.2955054321961728,0.26468188860821074,1.6589746940533152,0.8427235880632178,0.04008323577970734,0.7031600179130159,1.5062967505062077,1.0079232957356874,0.36548798489089973,0.22010808804005513,23.860000000000582,8.989000000001397,8.972999999998137,0.0,0.8496303713449271
1056,Ia,1,0.817,1.2765042923368208,0.9736025333435432,1.757659447370764,1.3761493791679327,0.7912428989109727,-0.1391163672691499,-0.11096251940383514,1.1297859339473366,0.45791381256830804,1.2247919564926815,0.8762111972392309,29.95300000000134,14.0,13.0,12.00800000000163,0.6658255245045477
1089,IIn,0,0.7569,0.9730320513713735,0.8265681611839572,-0.09010305274512008,0.9857957627055077,0.26230467371263255,-0.08442947493262432,0.9107855300122055,0.9133164012734705,0.6047013141335714,1.0648696250598064,0.6491563488768601,40.0,39.042999999997846,21.014999999999418,6.086000000002969,0.5401488427865935
1150,II,0,0.9354,1.9124394965301528,1.584004968049052,0.7444122994507513,2.0354556192994484,0.23212105708475847,-0.12743009433646385,0.7240490219521067,1.8690373375101665,0.9035324063681519,1.6260322478290188,1.0880359579957608,127.90699999999924,51.10199999999895,52.09000000000378,0.0,0.9354959594213869
1152,II,0,0.5606,1.256600876397038,1.1640040039015165,-0.7570974089157428,1.3456131477722748,0.1844059041401776,0.058822783430083354,1.4123667572149285,1.2282513361690774,0.32118402730231427,1.2884728005997825,0.950645462919316,17.034999999996217,8.015999999995984,0.01599999999598367,4.0899999999965075,0.6305548380132636
1153,Ia,1,0.8566,1.4506271230925287,1.0675477589373479,0.5069953709277787,1.5709484761508994,0.8236274020661605,-0.28373758857685766,0.17803797307565492,1.3190777696618075,0.778448432249074,1.333850145102545,0.9035404113159583,111.75400000000081,41.85199999999895,21.909999999996217,13.988999999994121,0.7035467805523198
1160,IIn,0,0.8168,1.2671985375034895,1.2956070551607315,0.19404930348141786,1.4090361493577632,-0.055834935893737225,-0.18047402977904092,1.266241391683203,1.3727272459896334,0.41457699741019727,1.2407987711173312,0.8241603044969263,38.957000000002154,16.020000000004075,7.993000000002212,7.985000000000582,0.634652063899749
