snid,label_name,label_id,sim_z,z_peak_flux,r_mean_flux,peak_color_g_minus_r,i_peak_flux,peak_color_r_minus_i,peak_color_i_minus_z,g_mean_flux,r_peak_flux,z_std_flux,i_amplitude,i_std_flux,time_span,z_time_of_peak,i_time_of_peak,r_time_of_peak,r_std_flux
17,II,0,0.3972,1.6263403673750423,1.3906348811518765,-0.10846444860162202,1.450912743367036,0.14201388566969175,0.056040802129001574,1.4833336665747654,1.6043340731029112,0.7961960619062486,1.1889924913067247,0.7397626822482937,84.0659999999989,24.023000000001048,16.93658529394645,15.031000000002678,1.0145681530634916
19,II,0,0.9674,1.4089180208467798,1.4505954817115645,1.2950442883096203,1.4582459452404393,0.12994955398079155,0.038349943761990586,0.9901019561143862,1.5237464668115646,0.7371676730455726,1.1981925358565655,0.7837047041630285,28.898000000001048,28.898000000001048,15.52407283969975,15.953000000001339,0.6821358190647083
126,II,0,0.5621,1.2397998184470986,0.9730090333853376,0.5049099128575458,1.4598006362578517,0.1324710639114788,0.03731930079996431,0.9373506949096403,1.160768561861128,0.5885430305432134,1.1769367145180483,0.7906338971143424,95.02799999999843,43.07100000000355,15.124812794201949,16.031999999999243,0.6663456901691781
172,II,0,0.4458,1.5021538928713607,1.1056549254751642,0.1808997237119948,1.4597061997461764,0.12487514772336876,0.03436635942075826,1.2406906621569227,1.4043204672217307,0.7272604788529201,1.1747300652857233,0.7868008021029341,125.9409999999989,43.03900000000431,16.703213033058596,14.957000000002154,0.7497431472992164
303,Ib,0,0.9024,1.4116197059632303,1.2432861460834461,3.539572752303503,1.474203560368544,0.1346528483034798,0.07569126397622604,-0.6004414034117225,1.3191060593097763,0.7817881989880442,1.2099310212465066,0.808484297035155,37.15699999999924,8.144999999996799,15.926024450100698,12.114000000001397,0.6374897295125108
488,II,0,0.7708,1.1961761850399732,0.9965919274954111,1.0145969446978687,1.4485420351342075,0.160018070794085,0.041079959475424296,0.18964135706092247,1.2893659515200318,0.5221746474953455,1.2053799512483259,0.7612471280916872,102.80099999999948,102.80099999999948,16.1143943565639,13.805000000000291,0.7450007850507047
556,IIn,0,0.4532,1.6434526764861874,1.339964192332683,-0.1268120009211518,1.4764122837650708,0.12347141909103299,0.06644312606495509,1.6136757407914282,1.7428036584691655,1.0684085670202281,1.2276290389150317,0.76787240380634,71.07800000000134,2.186999999998079,15.595530056463156,0.01600000000325963,1.2512813747393623
565,II,0,0.7699,1.2201080880400552,1.0609275150984643,0.8050931471428222,1.4454707932001485,0.15062695804228982,0.052453867797600945,0.9136372740190547,1.2219355998280053,0.5384996784663549,1.1902802785664983,0.7834199838786442,108.83599999999569,50.879000000000815,15.508498861394155,51.86699999999837,0.6366689336288245
642,Ia,1,0.8128,1.4857214264815801,1.1464381352857747,0.48447182975822123,1.4463612434198179,0.1320035698548088,0.06257528411408597,0.08889006797286635,1.213517756996305,0.7230814155997806,1.1762280785836334,0.7744139922988079,44.81300000000192,7.957000000002154,14.255633409609489,7.942000000002736,0.5237464668115644
696,IIL,0,0.3548,1.4434194617828173,0.9846473090569006,-0.32278454178315785,1.470736431856765,0.1544944750947173,0.06389916012363386,0.5321911617032818,1.2011238972073797,0.8704654292568387,1.2081469415385444,0.8194184646624324,45.082000000002154,8.019000000000233,16.40370272429913,7.973000000005413,0.7571103565114757
