snid,label_name,label_id,sim_z,z_peak_flux,r_mean_flux,peak_color_g_minus_r,i_peak_flux,peak_color_r_minus_i,peak_color_i_minus_z,g_mean_flux,r_peak_flux,z_std_flux,i_amplitude,i_std_flux,time_span,z_time_of_peak,i_time_of_peak,r_time_of_peak,r_std_flux
17,II,0,0.3972,1.5016949224387603,1.3906348811518765,-0.10846444860162202,1.5940609012704183,-0.059535423309654154,0.02287371306966456,1.4833336665747654,1.6043340731029112,0.7968528839172709,1.375297738217339,0.8655783508927314,84.0659999999989,19.564787631038868,8.019000000000233,15.031000000002678,1.0145681530634916
19,II,0,0.9674,1.4913048431415683,1.4505954817115645,1.2950442883096203,1.38147609027503,-0.36766250898691655,0.03758086879211765,0.9901019561143862,1.5237464668115646,0.7987357468351665,0.7715874808812554,0.5384480517102173,28.898000000001048,20.272432805595294,19.86699999999837,15.953000000001339,0.6821358190647083
126,II,0,0.5621,1.465030700689151,0.9730090333853376,0.5049099128575458,0.9041743682841635,-0.6930194090243389,0.05603436487861322,0.9373506949096403,1.160768561861128,0.7900102776697888,0.4189638307036226,0.24027522922012276,95.02799999999843,19.032279886472416,1.0820000000021537,16.031999999999243,0.6663456901691781
172,II,0,0.4458,1.4624475748321453,1.1056549254751642,0.1808997237119948,1.4500950758716022,0.16928608408526014,0.015396796613481315,1.2406906621569227,1.4043204672217307,0.7569845481220092,1.3392924027687654,0.7784200436846511,125.9409999999989,19.942492484047833,52.0,14.957000000002154,0.7497431472992164
303,Ib,0,0.9024,1.4869963311823842,1.2432861460834461,3.539572752303503,1.5414544287475889,0.54005690165518,0.035079273995414044,-0.6004414034117225,1.3191060593097763,0.7773825553038837,1.1338581252033346,0.7902685987684971,37.15699999999924,18.88445215437751,15.00800000000163,12.114000000001397,0.6374897295125108
488,II,0,0.7708,1.4780772556892825,0.9965919274954111,1.0145969446978687,1.049605612594973,-0.38868964984848037,0.05302215701486624,0.18964135706092247,1.2893659515200318,0.7915034241255863,0.6144753660903953,0.35162989858401533,102.80099999999948,19.91158270678176,44.875,13.805000000000291,0.7450007850507047
556,IIn,0,0.4532,1.4907823540093816,1.339964192332683,-0.1268120009211518,1.6902847025126295,-0.07120850727727526,0.037874869554984744,1.6136757407914282,1.7428036584691655,0.8055563969336381,1.6310376965367404,1.2031505262489728,71.07800000000134,19.816697441816846,2.1560000000026776,0.01600000000325963,1.2512813747393623
565,II,0,0.7699,1.4883728801412905,1.0609275150984643,0.8050931471428222,1.1212314551496214,-0.2709804590706562,0.05143719066157469,0.9136372740190547,1.2219355998280053,0.7403310020578939,0.8385972528166564,0.5003991583219083,108.83599999999569,17.723740245989973,42.83599999999569,51.86699999999837,0.6366689336288245
642,Ia,1,0.8128,1.4940142275821737,1.1464381352857747,0.48447182975822123,1.7018269303971394,1.2709641133058227,0.05994142676240801,0.08889006797286635,1.213517756996305,0.8014734735688348,1.347720217034038,1.006208380788876,44.81300000000192,20.558709939018804,29.114000000001397,7.942000000002736,0.5237464668115644
696,IIL,0,0.3548,1.4743138813745258,0.9846473090569006,-0.32278454178315785,1.3163897510731954,0.5826570805695198,0.060981014897727136,0.5321911617032818,1.2011238972073797,0.7795660377668135,1.0466902213700569,0.7111939994554518,45.082000000002154,18.48516272852838,7.988000000004831,7.973000000005413,0.7571103565114757
742,II,0,0.4541,1.4740401090158064,1.1787221302829727,-0.5602846555942459,1.2190603324488614,-0.3092193548104831,0.04301748012218131,1.495960394881705,1.3025473724874856,0.7514756637125141,0.7218106152125467,0.44156444193589195,84.92199999999866,21.05965753186206,54.86699999999837,3.8869999999951688,0.7507869966105403
760,Ib,0,0.8864,1.4827639227246856,0.9976630097324728,1.6898747478495264,1.4282968139828796,0.9787520670822064,0.046269908168567284,0.41305236375852267,1.0666985504229953,0.7571778822947567,1.0417873189717517,0.6588163601710241,19.04699999999866,19.93218672820741,8.023000000001048,0.0,0.43563099325333193
762,II,0,0.6733,1.47407637645898,1.1547108283616643,1.033121776444234,1.3096301674258988,-0.18635088001501263,0.058147182475832934,0.6167380067837752,1.3372595397502758,0.7729986305795385,1.0352696000994361,0.6315775187964179,33.91399999999703,19.624954190155464,3.9679999999934807,14.909999999996217,0.7769737892524285
834,Ib,0,0.3235,1.4826295606604842,1.1224124954112804,-0.4058111799776257,1.4051755462179893,0.5596639588153246,0.0656116936553153,1.267230412881436,1.1705550585212086,0.7460769684119771,0.8756399370041685,0.4984240205630548,19.059000000001106,18.960193787476776,16.965000000003783,19.01600000000326,0.3397998412039484
858,II,0,0.8275,1.502300965302911,0.9223188192407434,-0.11214927700140645,1.1092409685882032,0.09474439736429612,0.03663830149425374,-0.23451334661142728,1.0492180226701815,0.814246774999098,0.8244512700366128,0.48727439624867047,120.96100000000297,19.5223779592645,60.042999999997846,64.09000000000378,0.5111783365946845
865,II,0,0.5633,1.5111047996624325,1.0800790656766166,1.2688841351218183,1.25478968739721,0.24440513675961964,0.07833417864022615,0.6997510316895144,1.1670217957902564,0.7680359088252141,1.0342673970380256,0.6439273748754347,71.11699999999837,19.19825849238774,4.097999999998137,13.070999999996275,0.6037016061986883
873,II,0,0.7469,1.497504510193202,1.2031900801801465,1.2179240388518195,1.2873537727147466,-0.44811219857398366,0.049568702194094025,0.9409147375802854,1.4245549766067132,0.7682498666521309,1.026410680578774,0.5978583138423441,76.92199999999866,19.832412345239913,16.082000000002154,14.917999999997846,0.9076090477010491
876,Ib,0,0.2356,1.4830658549677773,1.6364678360987646,0.5580459302767931,1.801815168581437,0.2343834982939232,0.03345600673894019,1.4602963267574753,1.7117228918272347,0.7690605219007532,1.4350476413399644,1.0028321875220803,29.956999999994878,19.87193919480619,18.932999999997264,18.91399999999703,0.9246491618588688
903,II,0,0.6655,1.4768459617714431,1.1714046348301295,0.21468322835593323,1.25478968739721,-0.41336202215061735,0.02649927528866596,1.2778383330020475,1.373463721632369,0.772292927447946,1.058084224750925,0.5925638966953284,78.96099999999569,19.103570336522175,0.027000000001862645,7.917999999997846,0.8318113312479132
938,Ia,1,0.7331,1.4656813141187515,1.3010028514105956,-0.2188677303095793,1.6102341753343887,0.44411058078506493,0.037271855449570936,0.9193188310919757,1.4187982905903536,0.7926883560609068,1.4861469968065726,1.018025720762476,38.96899999999732,18.741922498247963,16.06999999999971,15.074000000000524,0.7813862364246741
967,II,0,0.8998,1.471346793439466,1.0316050305961115,-0.09893089050407003,0.887335930399167,-0.8931669466738088,0.01567598270736143,1.2490760036836115,1.2521245525056444,0.7771367808142187,0.0,0.0,30.167999999997846,19.893281402087606,29.144000000000233,3.1090000000040163,0.6613192381912888
1024,II,0,0.4091,1.4605067792642512,1.1649473726218416,-0.9629299036824162,1.0519239160461065,-0.42806125438227405,0.05183556180626567,1.5795549604009986,1.2185355052165279,0.7593513927882356,0.0,0.0,67.03500000000349,18.857920312779964,3.0350000000034925,27.160000000003492,0.42357497361847385
