model,smote,threshold,precision,recall,f1_score,roc_auc
Linear,False,False,0.7140511376964579,0.7140511376964579,0.7140511376964579,0.0
RandomForest,False,False,0.9021470857832673,0.9047619047619048,0.9017146812811564,0.9647457023525774
XGBoost,False,False,0.9263727757049052,0.9268121041520057,0.9265702913382324,0.9747661011442691
Linear,False,True,0.6385174759558996,0.6385174759558996,0.6385174759558996,0.0
RandomForest,False,True,0.746237730191508,0.7733990147783252,0.6796254946975703,0.6756003273803015
XGBoost,False,True,0.7296647274703701,0.7719915552427867,0.729610853725724,0.6660277336098989
Linear,True,False,0.6847290640394089,0.6847290640394089,0.6847290640394089,0.0
RandomForest,True,False,0.9265616281143273,0.9223551489561341,0.923736786595787,0.9702458788505453
XGBoost,True,False,0.9311973743039714,0.9270466807412621,0.9283670256566934,0.972495993652321
Linear,True,True,0.6272577996715928,0.6272577996715928,0.6272577996715928,0.0
RandomForest,True,True,0.7106101380153436,0.7440769411212761,0.7217506716946643,0.6546200295516951
XGBoost,True,True,0.7195852740037122,0.7471264367816092,0.7293014170890493,0.654238606509495
