snid,phase_days,mjd,band,fluxcal,fluxcalerr,snr,mag,magerr,sim_mag
319694,0.0,56177.172,g,0.09072,4.786,0.02,99.0,5.0,99.195
319694,0.01600000000325963,56177.188,r,-4.019,5.335,-0.75,99.0,5.0,99.162
319694,0.031000000002677552,56177.203,i,6.197,5.437,1.14,99.0,5.0,99.198
319694,0.06199999999807915,56177.234,z,-7.772,4.693,-1.66,99.0,5.0,99.114
319694,2.0,56179.172,g,-0.4589,2.238,-0.21,99.0,5.0,99.195
319694,2.139999999999418,56179.312,r,2.821,3.03,0.93,99.0,5.0,99.162
319694,2.1560000000026776,56179.328,i,-1.124,4.199,-0.27,99.0,5.0,99.198
319694,2.186999999998079,56179.359,z,-2.16,3.517,-0.61,99.0,5.0,99.114
319694,9.984000000004016,56187.156,g,0.242,1.702,0.14,99.0,5.0,99.195
319694,10.0,56187.172,r,-0.4954,1.251,-0.4,99.0,5.0,99.162
319694,10.01600000000326,56187.188,i,-1.953,1.897,-1.03,99.0,5.0,99.198
319694,10.039000000004307,56187.211,z,-1.813,2.176,-0.83,99.0,5.0,99.114
319694,11.976000000002387,56189.148,g,0.2433,9.76,0.02,99.0,5.0,99.195
319694,11.988000000004831,56189.16,r,0.622,3.876,0.16,99.0,5.0,99.162
319694,12.004000000000815,56189.176,i,0.5438,8.07,0.07,99.0,5.0,99.198
319694,12.031000000002678,56189.203,z,0.8086,4.692,0.17,99.0,5.0,99.114
319694,16.949000000000524,56194.121,g,28.12,3.825,7.35,23.878,0.158,24.47
319694,16.957000000002154,56194.129,r,11.19,2.365,4.73,24.878,0.259,24.55
319694,22.984000000004016,56200.156,i,1096.0,21.95,49.94,19.9,0.021,19.941
319694,23.00800000000163,56200.18,z,691.8,14.06,49.21,20.4,0.022,20.4
319694,29.984000000004016,56207.156,g,5225.0,97.34,53.68,18.205,0.021,18.18
319694,30.0,56207.172,r,4546.0,84.58,53.75,18.356,0.02,18.357
319694,32.01900000000023,56209.191,i,3683.0,68.54,53.73,18.585,0.02,18.594
319694,32.042999999997846,56209.215,z,2891.0,53.82,53.73,18.847,0.02,18.882
319694,37.99199999999837,56215.164,g,7058.0,131.4,53.71,17.878,0.021,17.85
319694,38.00800000000163,56215.18,r,6496.0,120.8,53.77,17.968,0.021,17.958
319694,39.9800000000032,56217.152,i,3503.0,65.17,53.74,18.639,0.02,18.635
319694,40.01900000000023,56217.191,z,3734.0,69.46,53.76,18.57,0.02,18.596
319694,43.88999999999942,56221.062,g,5847.0,109.0,53.64,18.083,0.021,18.054
319694,43.90200000000186,56221.074,r,6211.0,115.6,53.74,18.017,0.02,18.038
319694,44.02300000000105,56221.195,i,3137.0,60.08,52.21,18.759,0.022,18.729
319694,44.05500000000029,56221.227,z,3021.0,56.34,53.63,18.8,0.02,18.812
319694,44.875,56222.047,g,5726.0,106.9,53.55,18.105,0.02,18.109
319694,44.88999999999942,56222.062,r,5982.0,111.3,53.74,18.058,0.02,18.074
319694,45.01900000000023,56222.191,i,3115.0,58.88,52.89,18.767,0.021,18.775
319694,45.03900000000431,56222.211,z,2781.0,51.97,53.52,18.889,0.021,18.877
319694,50.859000000004016,56228.031,g,3720.0,74.56,49.89,18.574,0.022,18.56
319694,50.875,56228.047,r,4321.0,81.34,53.12,18.411,0.021,18.399
319694,50.984000000004016,56228.156,i,2097.0,39.37,53.26,19.196,0.02,19.235
319694,51.01600000000326,56228.188,z,2163.0,40.32,53.63,19.163,0.021,19.144
319694,51.859000000004016,56229.031,g,3586.0,74.0,48.46,18.614,0.022,18.645
319694,51.984000000004016,56229.156,r,4162.0,77.51,53.69,18.452,0.02,18.458
319694,52.0,56229.172,i,1953.0,37.04,52.72,19.273,0.021,19.258
319694,52.02700000000186,56229.199,z,2135.0,39.83,53.62,19.176,0.02,19.177
319694,52.86300000000483,56230.035,g,3250.0,61.3,53.01,18.72,0.02,18.731
319694,52.870999999999185,56230.043,r,4069.0,75.78,53.69,18.476,0.02,18.501
319694,53.01900000000023,56230.191,i,1977.0,37.34,52.95,19.26,0.021,19.252
319694,53.042999999997846,56230.215,z,2177.0,40.6,53.63,19.155,0.02,19.201
319694,53.86300000000483,56231.035,g,2965.0,55.84,53.1,18.82,0.021,18.818
319694,53.984000000004016,56231.156,r,3853.0,71.73,53.72,18.536,0.02,18.549
319694,54.0,56231.172,i,2166.0,40.6,53.36,19.161,0.019,19.24
319694,54.01900000000023,56231.191,z,2083.0,38.85,53.6,19.203,0.021,19.198
