feature_removed,feature_group,num_features,f1,roc_auc,pr_auc,delta_f1,delta_roc_auc,delta_pr_auc,rank_by_delta_f1
time_span,temporal,15,0.8102783725910063,0.9690264094118558,0.9094968371555376,-0.033951552808993646,-0.00756197438814421,-0.01826404384446234,1
z_std_flux,variability,15,0.8369851007887819,0.9752193117840667,0.9243907037344173,-0.007244824611218115,-0.0013690720159332814,-0.003370177265582641,2
z_peak_flux,brightness,15,0.8375768217734856,0.9754244910162969,0.9253646273279028,-0.0066531036265143895,-0.0011638927837031021,-0.0023962536720971706,3
i_time_of_peak,temporal,15,0.838370565045992,0.9748594915670731,0.9247494512092612,-0.005859360354008025,-0.0017288922329269374,-0.003011429790738762,4
peak_color_i_minus_z,color,15,0.8392466053438459,0.9752259695172659,0.9208266878214177,-0.004983320056154095,-0.0013624142827340924,-0.0069341931785822375,5
peak_color_r_minus_i,color,15,0.8393873085339169,0.9745822877665968,0.9204456869317892,-0.004842616866083116,-0.002006096033403182,-0.007315194068210795,6
r_time_of_peak,temporal,15,0.8398764887516542,0.9747665859265204,0.920198959881644,-0.004353436648345754,-0.0018217978734795803,-0.007561921118355963,7
r_mean_flux,brightness,15,0.8401947764497565,0.9737836624069279,0.9211175251414638,-0.004035148950243483,-0.002804721393072085,-0.0066433558585361485,8
i_amplitude,variability,15,0.8402471315092673,0.9761834726010069,0.9274188323677801,-0.003982793890732639,-0.00040491119899310757,-0.00034204863221987125,9
g_mean_flux,brightness,15,0.8412206988058382,0.975016402233609,0.9243928404746063,-0.003009226594161807,-0.0015719815663910452,-0.003368040525393634,10
z_time_of_peak,temporal,15,0.841409691629956,0.9749188059173932,0.9231020286892633,-0.002820233770043923,-0.0016695778826067986,-0.004658852310736705,11
peak_color_g_minus_r,color,15,0.8417360806663745,0.9752329298747014,0.9213812156117204,-0.002493844733625461,-0.0013554539252985665,-0.0063796653882796095,12
i_std_flux,variability,15,0.8419198590929106,0.97572832574957,0.9239341083098753,-0.002310066307089409,-0.0008600580504299904,-0.003826772690124658,13
r_std_flux,variability,15,0.8447589562140646,0.9766952101846371,0.9286537292625354,0.0005290308140646349,0.00010682638463710425,0.0008928482625354395,14
i_peak_flux,brightness,15,0.8452696728558797,0.9767741951103186,0.926894207950671,0.0010397474558797581,0.00018581131031858433,-0.0008666730493289698,15
r_peak_flux,brightness,15,0.8455785305763308,0.9766555664096782,0.9286029693973858,0.0013486051763308415,6.718260967819578e-05,0.000842088397385865,16
