experiment,item,feature_group,feature_count,f1,roc_auc,pr_auc,delta_f1,delta_roc_auc,delta_pr_auc,interpretation
feature_ablation,time_span,temporal,15,0.8102783725910063,0.9690264094118558,0.9094968371555376,-0.033951552808993646,-0.00756197438814421,-0.01826404384446234,large performance loss when removed
feature_ablation,z_std_flux,variability,15,0.8369851007887819,0.9752193117840667,0.9243907037344173,-0.007244824611218115,-0.0013690720159332814,-0.003370177265582641,small performance loss when removed
feature_ablation,z_peak_flux,brightness,15,0.8375768217734856,0.9754244910162969,0.9253646273279028,-0.0066531036265143895,-0.0011638927837031021,-0.0023962536720971706,small performance loss when removed
feature_ablation,i_time_of_peak,temporal,15,0.838370565045992,0.9748594915670731,0.9247494512092612,-0.005859360354008025,-0.0017288922329269374,-0.003011429790738762,small performance loss when removed
feature_ablation,peak_color_i_minus_z,color,15,0.8392466053438459,0.9752259695172659,0.9208266878214177,-0.004983320056154095,-0.0013624142827340924,-0.0069341931785822375,small performance loss when removed
feature_ablation,peak_color_r_minus_i,color,15,0.8393873085339169,0.9745822877665968,0.9204456869317892,-0.004842616866083116,-0.002006096033403182,-0.007315194068210795,small performance loss when removed
feature_ablation,r_time_of_peak,temporal,15,0.8398764887516542,0.9747665859265204,0.920198959881644,-0.004353436648345754,-0.0018217978734795803,-0.007561921118355963,small performance loss when removed
feature_ablation,r_mean_flux,brightness,15,0.8401947764497565,0.9737836624069279,0.9211175251414638,-0.004035148950243483,-0.002804721393072085,-0.0066433558585361485,small performance loss when removed
feature_ablation,i_amplitude,variability,15,0.8402471315092673,0.9761834726010069,0.9274188323677801,-0.003982793890732639,-0.00040491119899310757,-0.00034204863221987125,small performance loss when removed
feature_ablation,g_mean_flux,brightness,15,0.8412206988058382,0.975016402233609,0.9243928404746063,-0.003009226594161807,-0.0015719815663910452,-0.003368040525393634,small performance loss when removed
feature_ablation,z_time_of_peak,temporal,15,0.841409691629956,0.9749188059173932,0.9231020286892633,-0.002820233770043923,-0.0016695778826067986,-0.004658852310736705,small performance loss when removed
feature_ablation,peak_color_g_minus_r,color,15,0.8417360806663745,0.9752329298747014,0.9213812156117204,-0.002493844733625461,-0.0013554539252985665,-0.0063796653882796095,small performance loss when removed
feature_ablation,i_std_flux,variability,15,0.8419198590929106,0.97572832574957,0.9239341083098753,-0.002310066307089409,-0.0008600580504299904,-0.003826772690124658,small performance loss when removed
feature_ablation,r_std_flux,variability,15,0.8447589562140646,0.9766952101846371,0.9286537292625354,0.0005290308140646349,0.00010682638463710425,0.0008928482625354395,near-baseline performance when removed
feature_ablation,i_peak_flux,brightness,15,0.8452696728558797,0.9767741951103186,0.926894207950671,0.0010397474558797581,0.00018581131031858433,-0.0008666730493289698,near-baseline performance when removed
feature_ablation,r_peak_flux,brightness,15,0.8455785305763308,0.9766555664096782,0.9286029693973858,0.0013486051763308415,6.718260967819578e-05,0.000842088397385865,near-baseline performance when removed
block_ablation,temporal,,12,0.7976341360371778,0.9587695661699998,0.8728682054391985,-0.04659578936282216,-0.01781881763000026,-0.05489267556080146,large performance loss when removed
block_ablation,brightness,,11,0.8191489361702128,0.968468824256422,0.9078330239994166,-0.025080989229787187,-0.008119559543578014,-0.019927857000583415,moderate performance loss when removed
block_ablation,color,,13,0.8318201469952443,0.9723637494900782,0.9079421192341338,-0.012409778404755656,-0.004224634309921815,-0.019818761765866166,moderate performance loss when removed
block_ablation,variability,,12,0.8318739054290718,0.9732283469332665,0.9185579667535891,-0.012356019970928167,-0.0033600368667334735,-0.009202914246410843,moderate performance loss when removed
subset_growth,brightness_only,,5,0.7500000000000001,0.9418652789529686,0.8264338113180455,-0.09422992539999986,-0.03472310484703145,-0.10132706968195448,substantial loss relative to compact baseline
subset_growth,color_only,,3,0.6210325047801147,0.8404006684364131,0.5816754701010557,-0.22319742061988523,-0.13618771536358687,-0.3460854108989443,substantial loss relative to compact baseline
subset_growth,temporal_only,,4,0.5337954939341422,0.7815093867985624,0.4955503311855783,-0.3104344314658578,-0.1950789970014376,-0.4322105498144217,substantial loss relative to compact baseline
subset_growth,brightness_plus_color,,8,0.7682724252491694,0.9494284638672714,0.849357148315552,-0.07595750015083058,-0.027159919932728593,-0.078403732684448,substantial loss relative to compact baseline
subset_growth,brightness_plus_color_plus_variability,,12,0.791578947368421,0.9579058765995204,0.8705090243544948,-0.05265097803157892,-0.018682507200479592,-0.05725185664550514,moderate reduced-feature performance
subset_growth,full_compact,,16,0.8422907488986785,0.9765127277701314,0.9282036618688263,-0.0019391765013214712,-7.56560298685871e-05,0.0004427808688263202,near-baseline compact performance
minimal_core,top_5,,5,0.7069729947601773,0.9116788140035129,0.7459031823458526,-0.1372569306398227,-0.0649095697964871,-0.18185769865414736,substantial loss relative to compact baseline
minimal_core,top_8,,8,0.7963994856408058,0.9611436533039909,0.8743605319171213,-0.04783043975919421,-0.01544473049600914,-0.05340034908287872,moderate reduced-feature performance
minimal_core,top_10,,10,0.8385093167701864,0.9731647958436377,0.9168996508123186,-0.005720608629813606,-0.0034235879563623284,-0.01086123018768137,near-baseline compact performance
