feature,feature_group,gain_rank,permutation_rank,shap_rank,ablation_rank,gain_score,mean_pr_auc_drop,mean_abs_shap,ablation_loss,consensus_score,physical_meaning,interpretation
r_mean_flux,brightness,6,1,1,5,64.64130401611328,0.12305325016383409,1.0886982679367065,0.010678504808779632,2.3666666666666667,Mean brightness level in r band across the reconstructed light curve.,Average r-band brightness encodes scale information beyond a single peak snapshot.
time_span,temporal,14,6,5,1,22.812955856323242,0.05252073765347072,0.5019413828849792,0.05221559665345599,1.438095238095238,Observed temporal coverage of the transient.,Observed temporal coverage contributes because different classes occupy different effective time windows.
z_peak_flux,brightness,4,2,2,7,79.75947570800781,0.11779062898873596,0.8174501657485962,0.00904935729861156,1.3928571428571428,Peak brightness scale in z band.,"Band-specific peak brightness is a strong classifier signal, consistent with transient luminosity structure."
i_peak_flux,brightness,1,9,6,14,113.63298797607422,0.04240931552373519,0.45709773898124695,0.0008666730493289698,1.3492063492063493,Peak brightness scale in i band.,i-band peak brightness contributes strongly to separating Ia from non-Ia events.
peak_color_r_minus_i,color,3,8,11,2,80.82704162597656,0.044868491719908324,0.37935110926628113,0.012157810934293911,1.0492424242424243,Color near peak from the r-to-i flux ratio.,r-i color acts as a spectral-slope proxy near peak.
i_std_flux,variability,13,3,4,12,22.85975456237793,0.07254982434184756,0.5292092561721802,0.006136838997214067,0.7435897435897436,Variability or spread of reconstructed i-band flux values.,"i-band variability helps capture light-curve shape, not just scale."
peak_color_g_minus_r,color,5,4,7,8,68.66179656982422,0.056942179087910216,0.44769877195358276,0.00887351012190507,0.7178571428571429,Color near peak from the g-to-r flux ratio.,Color near peak captures temperature or spectral-slope differences characteristic of Ia evolution.
g_mean_flux,brightness,7,7,3,11,49.43837356567383,0.04641556180436126,0.5393864512443542,0.006377267119555441,0.7099567099567099,Mean brightness level in g band across the reconstructed light curve.,Mean g-band brightness adds complementary information to peak-only brightness proxies.
i_amplitude,variability,2,15,16,13,83.3367919921875,0.00865395170990435,0.1697908192873001,0.00432484252295251,0.7060897435897436,Peak-to-trough amplitude in the i band.,i-band amplitude reflects how strongly the light curve rises and falls around peak.
peak_color_i_minus_z,color,9,11,13,3,38.08995819091797,0.036904845826506216,0.27005526423454285,0.011917513234736332,0.6122766122766122,Color near peak from the i-to-z flux ratio.,i-z color contributes to distinguishing redder or later-phase light-curve behavior.
r_peak_flux,brightness,8,5,12,16,48.82893371582031,0.05310867996420021,0.27391207218170166,0.0,0.4708333333333333,Peak brightness scale in r band.,r-band peak brightness remains informative even after compact pruning.
z_std_flux,variability,10,10,10,6,33.22660827636719,0.039581457709945186,0.39691588282585144,0.010615001876800756,0.4666666666666667,Variability or spread of reconstructed z-band flux values.,Spread in z-band flux captures shape or variability around peak.
r_time_of_peak,temporal,15,14,14,4,22.38169288635254,0.02471743788083385,0.2542188763618469,0.011915357766701717,0.4595238095238095,Time of peak in r band.,Peak timing in r band reflects band-lag physics and phase structure.
z_time_of_peak,temporal,11,12,8,10,32.402225494384766,0.03668850977307618,0.40446966886520386,0.007479086080780628,0.39924242424242423,Time of peak in z band.,Inter-band timing helps capture peak-lag structure in the transient.
i_time_of_peak,temporal,12,13,9,9,28.510480880737305,0.03258206617849653,0.401606947183609,0.008870790144746787,0.38247863247863245,Time of peak in i band.,Peak timing in i band contributes to the time-evolution signature of Ia light curves.
r_std_flux,variability,16,16,15,15,15.980035781860352,0.00606820535307997,0.1935565173625946,0.0,0.2583333333333333,Variability or spread of reconstructed r-band flux values.,r-band spread adds another light-curve-shape cue after pruning redundant amplitudes.
