subset_name,feature_count,feature_list,selection_rule,seed,model_name,scenario_name,f1,roc_auc,pr_auc
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,42,xgboost,clean,0.7069729947601773,0.9116788140035129,0.7459031823458526
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,42,xgboost,noisy,0.5934256055363322,0.8256714929179876,0.5937684834654128
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,42,random_forest,clean,0.6688068485821295,0.9092631160370267,0.7452902924378967
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,42,random_forest,noisy,0.4706601466992665,0.8216021048120885,0.5798819715055805
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,42,logistic_regression,clean,0.5826119683853972,0.8055972168254233,0.4522578344135441
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,42,logistic_regression,noisy,0.4608663997087732,0.7044701836444915,0.3749217054089703
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,52,xgboost,clean,0.7099113618049959,0.9146932540215735,0.7542082249286142
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,52,xgboost,noisy,0.6018477782666081,0.8269836716067047,0.5903577663408451
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,52,random_forest,clean,0.7006369426751592,0.912986453328685,0.7667533590063993
top_5,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",ablation-plus-importance with minimum one feature per physical family when possible,52,random_forest,noisy,0.48170731707317066,0.8300879910229546,0.5903321027414329
