domain,method,feature,feature_group,rank,score
spcc,gain,i_std_flux,variability,1,136.445556640625
spcc,gain,peak_color_r_minus_i,color,2,71.58209991455078
spcc,gain,peak_color_g_minus_r,color,3,58.51387023925781
spcc,gain,z_std_flux,variability,4,48.733009338378906
spcc,gain,z_peak_flux,brightness,5,47.92529296875
spcc,gain,g_mean_flux,brightness,6,37.580448150634766
spcc,gain,r_std_flux,variability,7,32.916683197021484
spcc,gain,i_peak_flux,brightness,8,32.741722106933594
spcc,gain,r_peak_flux,brightness,9,28.547779083251953
spcc,gain,peak_color_i_minus_z,color,10,28.12010383605957
spcc,gain,z_time_of_peak,temporal,11,27.035106658935547
spcc,gain,r_mean_flux,brightness,12,20.494487762451172
spcc,gain,i_time_of_peak,temporal,13,16.698129653930664
spcc,gain,time_span,temporal,14,15.87149715423584
spcc,gain,r_time_of_peak,temporal,15,12.84113597869873
spcc,gain,i_amplitude,variability,16,10.662866592407227
spcc,permutation,peak_color_r_minus_i,color,1,0.1483870030985714
spcc,permutation,peak_color_g_minus_r,color,2,0.1344863146328026
spcc,permutation,peak_color_i_minus_z,color,3,0.08252950705556863
spcc,permutation,z_peak_flux,brightness,4,0.07530599490077053
spcc,permutation,z_std_flux,variability,5,0.04833119061102888
spcc,permutation,g_mean_flux,brightness,6,0.04689920625428397
spcc,permutation,i_std_flux,variability,7,0.03746067608185803
spcc,permutation,r_mean_flux,brightness,8,0.036322288830837435
spcc,permutation,r_std_flux,variability,9,0.025883078589234287
spcc,permutation,i_peak_flux,brightness,10,0.016165881515936585
spcc,permutation,z_time_of_peak,temporal,11,0.014562189826767958
spcc,permutation,i_time_of_peak,temporal,12,0.013275532496704812
spcc,permutation,time_span,temporal,13,0.00891847399613901
spcc,permutation,r_time_of_peak,temporal,14,0.0077369961993288385
spcc,permutation,i_amplitude,variability,15,0.0017337465824037723
spcc,permutation,r_peak_flux,brightness,16,0.0002836307487367851
spcc,ablation,peak_color_i_minus_z,color,1,0.018777656587059724
spcc,ablation,peak_color_r_minus_i,color,2,0.0148187602029075
spcc,ablation,peak_color_g_minus_r,color,3,0.013200137675006062
spcc,ablation,time_span,temporal,4,0.005268009227033965
spcc,ablation,z_std_flux,variability,5,0.004134172987193469
spcc,ablation,r_std_flux,variability,6,0.003672776080431067
spcc,ablation,i_std_flux,variability,7,0.0034497357660301263
spcc,ablation,i_time_of_peak,temporal,8,0.002116003663029714
spcc,ablation,r_time_of_peak,temporal,9,0.002007429989837828
spcc,ablation,g_mean_flux,brightness,10,0.0014081521932924
spcc,ablation,z_peak_flux,brightness,11,0.0009713170202798604
spcc,ablation,r_mean_flux,brightness,12,0.0005835477791701349
spcc,ablation,i_peak_flux,brightness,13,0.00045690275214524954
spcc,ablation,i_amplitude,variability,14,7.023063944606166e-05
spcc,ablation,r_peak_flux,brightness,15,0.0
spcc,ablation,z_time_of_peak,temporal,16,0.0
noise,gain,i_std_flux,variability,1,139.10488891601562
noise,gain,peak_color_r_minus_i,color,2,70.00772857666016
noise,gain,peak_color_g_minus_r,color,3,56.882083892822266
noise,gain,z_std_flux,variability,4,51.24052047729492
noise,gain,i_peak_flux,brightness,5,45.31735610961914
noise,gain,z_peak_flux,brightness,6,37.483612060546875
noise,gain,g_mean_flux,brightness,7,36.92229461669922
noise,gain,r_std_flux,variability,8,29.414743423461914
noise,gain,z_time_of_peak,temporal,9,27.49177360534668
noise,gain,peak_color_i_minus_z,color,10,27.441980361938477
noise,gain,r_peak_flux,brightness,11,23.33621597290039
noise,gain,r_mean_flux,brightness,12,18.593961715698242
noise,gain,time_span,temporal,13,16.523527145385742
noise,gain,i_time_of_peak,temporal,14,15.862910270690918
noise,gain,r_time_of_peak,temporal,15,11.134700775146484
noise,gain,i_amplitude,variability,16,8.308823585510254
noise,permutation,peak_color_r_minus_i,color,1,0.16281326541978264
noise,permutation,peak_color_g_minus_r,color,2,0.13864227372773696
noise,permutation,peak_color_i_minus_z,color,3,0.08455289856515007
noise,permutation,g_mean_flux,brightness,4,0.051677026700885295
noise,permutation,z_peak_flux,brightness,5,0.04982601357848289
noise,permutation,z_std_flux,variability,6,0.04812489292502693
noise,permutation,i_std_flux,variability,7,0.029326728875409214
noise,permutation,r_mean_flux,brightness,8,0.02840472785034185
noise,permutation,i_peak_flux,brightness,9,0.02527541002337306
noise,permutation,z_time_of_peak,temporal,10,0.018793529228757766
noise,permutation,r_std_flux,variability,11,0.017767066282207478
noise,permutation,i_time_of_peak,temporal,12,0.014476839179445977
noise,permutation,time_span,temporal,13,0.009318543880784725
noise,permutation,r_time_of_peak,temporal,14,0.009258304219690117
noise,permutation,r_peak_flux,brightness,15,0.002686826038609569
noise,permutation,i_amplitude,variability,16,0.0011950106418466833
noise,ablation,peak_color_r_minus_i,color,1,0.028496235228527414
noise,ablation,peak_color_g_minus_r,color,2,0.025741759518502133
noise,ablation,peak_color_i_minus_z,color,3,0.014066544464202224
noise,ablation,g_mean_flux,brightness,4,0.006479781235234816
noise,ablation,z_std_flux,variability,5,0.005446586141233239
noise,ablation,z_peak_flux,brightness,6,0.0025159604549893355
noise,ablation,time_span,temporal,7,0.0024092156293896495
noise,ablation,r_mean_flux,brightness,8,0.001614600802747601
noise,ablation,r_peak_flux,brightness,9,0.0012678208871699291
noise,ablation,i_peak_flux,brightness,10,0.0012322309298355314
noise,ablation,r_time_of_peak,temporal,11,0.0011510527213242582
noise,ablation,i_amplitude,variability,12,0.0009110401911891996
noise,ablation,i_std_flux,variability,13,0.0006968360210338419
noise,ablation,i_time_of_peak,temporal,14,0.0005830337519085071
noise,ablation,z_time_of_peak,temporal,15,0.0005711726943625705
noise,ablation,r_std_flux,variability,16,0.0005484111047620976
no_z,gain,i_std_flux,variability,1,181.7134246826172
no_z,gain,peak_color_r_minus_i,color,2,86.46285247802734
no_z,gain,peak_color_g_minus_r,color,3,78.85380554199219
no_z,gain,i_peak_flux,brightness,4,71.95807647705078
no_z,gain,r_std_flux,variability,5,44.63920974731445
no_z,gain,g_mean_flux,brightness,6,37.937435150146484
no_z,gain,r_mean_flux,brightness,7,27.325971603393555
no_z,gain,i_time_of_peak,temporal,8,27.19997215270996
no_z,gain,r_peak_flux,brightness,9,21.29083251953125
no_z,gain,time_span,temporal,10,15.152864456176758
no_z,gain,r_time_of_peak,temporal,11,13.650014877319336
