subset_name,selection_rule,domain,feature_count,feature_list,f1,pr_auc,roc_auc,delta_f1
top_5,ablation-plus-importance with minimum one feature per physical family when possible,spcc,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.7467988434531184,0.7854913546020044,0.9366583713254548,-0.09743108194688155
top_5,ablation-plus-importance with minimum one feature per physical family when possible,noise,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.7301331181928196,0.774175306266608,0.9299628161772582,-0.1140968072071804
top_5,ablation-plus-importance with minimum one feature per physical family when possible,no_z,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.5205348615090736,0.5167601379870529,0.7592507523736033,-0.3236950638909264
top_5,ablation-plus-importance with minimum one feature per physical family when possible,no_i,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.5981894150417827,0.5035386502173652,0.821492043436401,-0.24604051035821728
top_5,ablation-plus-importance with minimum one feature per physical family when possible,short_span,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.7467988434531184,0.7854913546020044,0.9366583713254548,-0.09743108194688155
top_5,ablation-plus-importance with minimum one feature per physical family when possible,flux_scale,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.7292772560228664,0.7645768215176466,0.9277028067275019,-0.11495266937713355
top_5,ablation-plus-importance with minimum one feature per physical family when possible,plasticc_train,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.6645021645021645,0.6809594677146956,0.8502511633640482,-0.1797277608978355
top_5,ablation-plus-importance with minimum one feature per physical family when possible,plasticc,5,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i",0.6645021645021645,0.6809594677146956,0.8502511633640482,-0.1797277608978355
top_8,ablation-plus-importance with minimum one feature per physical family when possible,spcc,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",0.7746058798466127,0.8257562130420771,0.9481628093694364,-0.0696240455533873
top_8,ablation-plus-importance with minimum one feature per physical family when possible,noise,8,"z_peak_flux, peak_color_i_minus_z, z_std_flux, time_span, peak_color_r_minus_i, r_time_of_peak, i_time_of_peak, r_mean_flux",0.7496896979726932,0.8227829148890892,0.9430213425211862,-0.09454022742730672
