train_domain,test_domain,feature_count,f1,pr_auc,roc_auc,delta_f1,delta_pr_auc,delta_roc_auc
spcc,spcc,16,0.8407473309608541,0.9119884460385523,0.9737442925939331,-0.003482594439145892,-0.015772434961447646,-0.002844091206066879
spcc,noise,16,0.8262994224788982,0.9058173724694655,0.9707750829976526,-0.017930502921101765,-0.021943508530534506,-0.005813300802347432
spcc,no_z,16,0.6921052631578948,0.6835915525337841,0.9082589807816441,-0.1521246622421052,-0.24416932846621586,-0.06832940301835588
spcc,no_i,16,0.6522222222222221,0.7252585862348478,0.918069426665863,-0.19200770317777782,-0.20250229476515214,-0.05851895713413702
spcc,short_span,16,0.8194207836456558,0.9025776643561251,0.9705674132057377,-0.02480914175434412,-0.025183216643874906,-0.00602097059426232
spcc,flux_scale,16,0.7729468599033816,0.837949199086114,0.9460180332327879,-0.07128306549661834,-0.089811681913886,-0.030570350567212135
spcc,plasticc_train,16,0.5168236877523553,0.5465301070260254,0.7041511294646985,-0.32740623764764465,-0.38123077397397453,-0.2724372543353015
spcc,plasticc,16,0.5168236877523553,0.5465301070260254,0.7041511294646985,-0.32740623764764465,-0.38123077397397453,-0.2724372543353015
spcc_plus_noise,spcc,16,0.8337754199823165,0.9134413706988302,0.9738336062187266,-0.010454505417683446,-0.014319510301169736,-0.0027547775812734043
spcc_plus_noise,noise,16,0.8255506607929514,0.9074644999335392,0.9710349044515971,-0.018679264607048607,-0.02029638106646081,-0.00555347934840289
spcc_plus_noise,no_z,16,0.7084233261339093,0.7018020319036794,0.9149386093743705,-0.13580659926609062,-0.22595884909632058,-0.06164977442562947
spcc_plus_noise,no_i,16,0.665943600867679,0.7370202058023753,0.9141427500289645,-0.17828632453232096,-0.19074067519762472,-0.062445633771035514
spcc_plus_noise,short_span,16,0.8124736620311841,0.9040158331355624,0.971008984763283,-0.031756263368815874,-0.02374504786443754,-0.005579399036717003
spcc_plus_noise,flux_scale,16,0.7845355964167845,0.8482298730389913,0.9506895105519676,-0.05969432898321547,-0.07953100796100865,-0.025898873248032417
spcc_plus_noise,plasticc_train,16,0.5302826379542396,0.537136378281149,0.7022065394927425,-0.3139472874457604,-0.39062450271885096,-0.27438184430725754
spcc_plus_noise,plasticc,16,0.5302826379542396,0.537136378281149,0.7022065394927425,-0.3139472874457604,-0.39062450271885096,-0.27438184430725754
spcc_plus_no_z,spcc,16,0.8321554770318021,0.9066542522370032,0.9723137131702309,-0.012074448368197821,-0.021106628762996738,-0.004274670629769162
spcc_plus_no_z,noise,16,0.8178998670801949,0.9009832535247998,0.9689404062645701,-0.02633005831980506,-0.026777627475200183,-0.007647977535429895
spcc_plus_no_z,no_z,16,0.797971259509721,0.8503212563700656,0.9573667970041837,-0.04625866589027894,-0.07743962462993437,-0.019221586795816314
